GID,NFIREID,fire_id,evi_period_start,evi_period_end,total_pixels,mean_evi,fire_processing_time_seconds,total_processing_time_seconds,avg_processing_time_seconds
2020_528,528,2020_528,2020-07-08,2020-08-08,838,0.4264041352453549,2.037208080291748,6863.984381914139,5.826811869197062
2020_533,533,2020_533,2020-07-08,2020-08-08,729,0.3196645606423063,2.172386884689331,6863.984381914139,5.826811869197062
2020_537,537,2020_537,2020-07-08,2020-08-08,1604,0.3739836439386885,1.8912930488586426,6863.984381914139,5.826811869197062
2020_347,347,2020_347,2020-07-10,2020-08-10,12619,0.41355424574313177,2.1273488998413086,6863.984381914139,5.826811869197062
2021_1197,1197,2021_1197,2021-06-03,2021-07-03,4533,0.3121117213075487,2.396890878677368,6863.984381914139,5.826811869197062
2021_1968,1968,2021_1968,2021-06-13,2021-07-13,1475,0.349829045925901,2.368907928466797,6863.984381914139,5.826811869197062
2021_1619,1619,2021_1619,2021-06-15,2021-07-15,1727,0.38626468796153807,2.7015128135681152,6863.984381914139,5.826811869197062
2021_2317,2317,2021_2317,2021-06-16,2021-07-16,278,0.2719877048225258,2.1001980304718018,6863.984381914139,5.826811869197062
2021_1290,1290,2021_1290,2021-06-21,2021-07-21,7318,0.3696215779391486,2.806540012359619,6863.984381914139,5.826811869197062
2021_2309,2309,2021_2309,2021-07-03,2021-08-03,2854,0.3557396177586485,2.2662770748138428,6863.984381914139,5.826811869197062
2023_1625,1625,2023_1625,2023-05-07,2023-06-07,14896,0.2724668847071805,2.5988640785217285,6863.984381914139,5.826811869197062
2023_1634,1634,2023_1634,2023-05-08,2023-06-08,1244,0.31559908045321156,2.6968350410461426,6863.984381914139,5.826811869197062
2023_1640,1640,2023_1640,2023-05-21,2023-06-21,1780,0.3291806714392385,2.237125873565674,6863.984381914139,5.826811869197062
2023_1614,1614,2023_1614,2023-06-02,2023-07-02,831,0.2329306894252102,1.9802041053771973,6863.984381914139,5.826811869197062
2023_1617,1617,2023_1617,2023-06-03,2023-07-03,144,0.36840694347933534,3.2072129249572754,6863.984381914139,5.826811869197062
2023_1622,1622,2023_1622,2023-06-03,2023-07-03,945,0.32651056699937137,1.9992430210113525,6863.984381914139,5.826811869197062
2023_1626,1626,2023_1626,2023-06-03,2023-07-03,1103,0.3359829683395484,1.885951042175293,6863.984381914139,5.826811869197062
2023_1624,1624,2023_1624,2023-06-07,2023-07-07,1962,0.35422378078552047,2.0209262371063232,6863.984381914139,5.826811869197062
2024_636,636,2024_636,2024-06-09,2024-07-09,893,0.35849198532953164,3.6005399227142334,6863.984381914139,5.826811869197062
2024_650,650,2024_650,2024-06-27,2024-07-27,2134,0.34521475591377404,5.695079803466797,6863.984381914139,5.826811869197062
2024_958,958,2024_958,2024-08-16,2024-09-16,48,0.37050322383899253,2.134895086288452,6863.984381914139,5.826811869197062
1986_43,43,1986_43,1986-05-18,1986-06-18,7739,0.3083809929596209,2.353562116622925,6863.984381914139,5.826811869197062
