GID,tif,median,percentile_95
1999_698,1999_698_rbr_w_offset.tif,311.3131103515625,467.4002685546875
2017_2078,2017_2078_rbr_w_offset.tif,228.5255126953125,435.3642883300781
2018_1466,2018_1466_rbr_w_offset.tif,236.35333251953125,317.15753173828125
2001_284,2001_284_rbr_w_offset.tif,-39.224021911621094,489.8785095214844
2006_880,2006_880_rbr_w_offset.tif,178.85546875,287.46466064453125
2011_323,2011_323_rbr_w_offset.tif,234.03128051757812,466.2145080566406
2007_492,2007_492_rbr_w_offset.tif,73.34834289550781,148.749267578125
1988_51,1988_51_rbr_w_offset.tif,287.42333984375,421.2750244140625
2001_365,2001_365_rbr_w_offset.tif,256.7948303222656,395.6516418457031
2011_725,2011_725_rbr_w_offset.tif,181.27401733398438,421.38348388671875
1995_1255,1995_1255_rbr_w_offset.tif,174.03382873535156,305.6630859375
2001_383,2001_383_rbr_w_offset.tif,3.9394898414611816,33.53765106201172
1989_905,1989_905_rbr_w_offset.tif,294.5879211425781,473.4223937988281
1989_867,1989_867_rbr_w_offset.tif,257.372802734375,421.830322265625
2021_2326,2021_2326_rbr_w_offset.tif,401.1798400878906,575.4889526367188
2017_1853,2017_1853_rbr_w_offset.tif,233.59158325195312,395.1499938964844
2013_702,2013_702_rbr_w_offset.tif,71.20806884765625,270.58319091796875
2021_2318,2021_2318_rbr_w_offset.tif,188.41151428222656,299.3542785644531
1998_737,1998_737_rbr_w_offset.tif,92.07258605957031,220.40960693359375
1989_881,1989_881_rbr_w_offset.tif,82.74684143066406,371.4112243652344
1988_34,1988_34_rbr_w_offset.tif,-35.05522918701172,277.616455078125
2011_740,2011_740_rbr_w_offset.tif,374.8995666503906,456.22216796875
1995_1033,1995_1033_rbr_w_offset.tif,264.74432373046875,473.8424377441406
1995_1230,1995_1230_rbr_w_offset.tif,279.1721496582031,490.1316833496094
1995_807,1995_807_rbr_w_offset.tif,243.4766387939453,394.7248229980469
2006_503,2006_503_rbr_w_offset.tif,260.69903564453125,418.9135437011719
2006_700,2006_700_rbr_w_offset.tif,188.2466278076172,345.73223876953125
2019_630,2019_630_rbr_w_offset.tif,301.0195007324219,520.9796752929688
1996_469,1996_469_rbr_w_offset.tif,309.2156677246094,454.951416015625
1996_654,1996_654_rbr_w_offset.tif,112.88385009765625,460.20391845703125
2018_1804,2018_1804_rbr_w_offset.tif,-20.60137176513672,394.6108703613281
1989_1037,1989_1037_rbr_w_offset.tif,234.32025146484375,457.41839599609375
1996_588,1996_588_rbr_w_offset.tif,99.48605346679688,432.4051513671875
1989_1234,1989_1234_rbr_w_offset.tif,312.72894287109375,507.4993896484375
2018_598,2018_598_rbr_w_offset.tif,223.82350158691406,494.784423828125
1998_651,1998_651_rbr_w_offset.tif,288.7891540527344,434.6456604003906
2021_1637,2021_1637_rbr_w_offset.tif,331.669677734375,535.5153198242188
2001_361,2001_361_rbr_w_offset.tif,242.80357360839844,407.570068359375
2019_1523,2019_1523_rbr_w_offset.tif,309.85400390625,481.2323303222656
2015_1987,2015_1987_rbr_w_offset.tif,6.757986068725586,29.634952545166016
1989_806,1989_806_rbr_w_offset.tif,-27.06837272644043,294.58038330078125
1991_131,1991_131_rbr_w_offset.tif,314.4792175292969,450.3847961425781
1994_45,1994_45_rbr_w_offset.tif,89.91976928710938,354.7266845703125
1992_41,1992_41_rbr_w_offset.tif,320.8006591796875,450.599609375
2023_174,2023_174_rbr_w_offset.tif,321.2405090332031,470.7406921386719
2003_518,2003_518_rbr_w_offset.tif,305.5674743652344,470.8890380859375
1988_9,1988_9_rbr_w_offset.tif,60.28160858154297,204.7841796875
2006_680,2006_680_rbr_w_offset.tif,102.21137237548828,337.6065368652344
